4,1,40,
2,4,5,0,5,
2,4,5,1,11,
2,4,5,2,21,
2,4,5,3,35,
2,4,5,4,53,
2,4,5,5,75,
2,4,5,6,101,
2,4,5,7,131,
2,4,5,8,165,
2,4,5,9,203,
2,4,5,10,245,
2,4,5,11,291,
2,4,5,12,341,
2,4,5,13,395,
2,4,5,14,453,
2,4,5,15,515,
2,4,5,16,581,
2,4,5,17,651,
2,4,5,18,725,
2,4,5,19,803,
2,4,5,20,885,
2,4,5,21,971,
2,4,5,22,1061,
2,4,5,23,1155,
2,4,5,24,1253,
2,4,5,25,1355,
2,4,5,26,1461,
2,4,5,27,1571,
2,4,5,28,1685,
2,4,5,29,1803,
2,4,5,30,1925,
2,4,5,31,2051,
2,4,5,32,2181,
2,4,5,33,2315,
2,4,5,34,2453,
2,4,5,35,2595,
2,4,5,36,2741,
2,4,5,37,2891,
2,4,5,38,3045,
2,4,5,39,3203,
